name
PERM_CLIENT_LIST
PERM_CLIENT_VIEW
PERM_CLIENT_EDIT
PERM_CLIENT_CREATE
PERM_CONTRACT_OWNER
PERM_CLIENT_LOCATION_LIST
PERM_CLIENT_LOCATION_EDIT
