surrogate_key,emmi_cd,specialty_cd,active,create_dt,last_chng_dt
70,188,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
71,188,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
72,188,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
73,189,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
74,189,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
75,189,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
76,189,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
77,132,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
78,132,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
79,185,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
80,185,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
81,186,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
82,186,24,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
83,274,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
84,274,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
85,273,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
86,273,6,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
87,723,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
88,320,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
89,724,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
90,724,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
91,724,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
92,451,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
93,451,16,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
94,451,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
95,451,37,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
96,654,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
97,227,7,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
98,135,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
99,135,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
100,135,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
101,135,25,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
102,135,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
103,134,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
104,134,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
105,134,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
106,134,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
107,137,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
108,137,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
109,137,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
110,137,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
111,148,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
112,148,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
113,148,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
114,148,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
115,144,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
116,144,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
117,144,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
118,144,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
119,149,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
120,149,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
121,149,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
122,149,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
123,145,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
124,145,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
125,145,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
126,145,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
127,151,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
128,151,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
129,151,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
130,158,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
131,158,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
132,138,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
133,138,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
134,138,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
135,138,28,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
136,491,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
137,491,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
138,491,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
139,184,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
140,184,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
141,184,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
142,465,31,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
143,303,5,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
144,303,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
145,303,26,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
146,340,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
147,340,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
148,340,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
149,340,25,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
150,105,15,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
151,105,37,false,"2013-01-07 13:31:21.763","2015-01-28 16:09:02.820"
152,531,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
153,531,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
154,531,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
157,341,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
158,341,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
159,341,27,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
160,655,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
161,655,27,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
162,203,20,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
163,605,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
164,605,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
165,605,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
166,483,4,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
167,656,4,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
168,38,14,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
169,657,4,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
170,657,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
171,467,4,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
172,467,11,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
173,658,38,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
174,468,38,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
175,555,35,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
176,342,12,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
177,342,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
178,342,30,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
179,194,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
180,194,21,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
181,194,23,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
182,193,1,true,"2013-01-07 13:31:21.763","2013-01-07 13:31:21.763"
