name;rank
PERM_CLIENT_SUPER_USER;1
PERM_CLIENT_CREATE_NEW_USER;2
PERM_CLIENT_ACTIVATE_USER;3
PERM_CLIENT_DEACTIVATE_USER;4
PERM_CLIENT_ADMINISTER_USER_ROLES;5
PERM_CLIENT_ADMINISTER_USER_INFORMATION;6
