name
PERM_CLIENT_PROVIDER_CREATE
PERM_CLIENT_PROVIDER_VIEW
PERM_CLIENT_PROVIDER_EDIT
PERM_CLIENT_PROVIDER_DELETE
PERM_CLIENT_PROVIDER_LIST
